id,Completed,Last page seen,Start language,Date last action,Date started,IP address,Referrer URL,What year are you?,What is your major?,"If you have a second major, what is it?",What is your gender?,[African American / Black] What racial/ethnic group do you identify with? Check all that apply.,[American Indian / Alaskan Native] What racial/ethnic group do you identify with? Check all that apply.,[Asian / Pacific Islander] What racial/ethnic group do you identify with? Check all that apply.,[Hispanic] What racial/ethnic group do you identify with? Check all that apply.,[White] What racial/ethnic group do you identify with? Check all that apply.,"[Domestic, Race/Ethnicity unknown] What racial/ethnic group do you identify with? Check all that apply.",[International] What racial/ethnic group do you identify with? Check all that apply.,What income bracket does your family fall into?,Please choose one,What is your status at UCLA?,What is your voting status?,"If you voted in the 2008 elections, which presidential candidate did you vote for?","If you did not vote in the 2008 elections, which presidential candidate did you support?","[Worked on a local, state, or national political campaign] Which of the following did you do last year? Check all that apply.",[Participated in student protests] Which of the following did you do last year? Check all that apply.,[Participated in a politically oriented student group] Which of the following did you do last year? Check all that apply.,What political party do you identify with?,Which presidential candidate are you planning to vote for in 2012?,Economy,Job Market,International affairs,Immigration,Education,Healthcare,Social issues,What is your current attitude toward the overall policies of President Obama?,What is your current attitude toward President Obama's education policies?,What is your current attitude toward President Obama's immigration policies?,Proposition 30,"On a 1-5 scale, how familiar are you with the tax measure?",How do you plan to vote on Proposition 30?,How do you think Proposition 30 will affect the UC?,Total time,Group time: General Information,Group time: Presidential Election,Group time: California tax measure
66,2012-09-24 16:33:00,3,en,2012-09-24 16:33:00,2012-09-24 16:30:00,128.97.75.87,,First,Undeclared - Humanities,Philosophy,Male,False,False,False,False,True,False,False,"Annual income between $80,000 - $120,000",I have both loans and financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Libertarian,Other,5,5,4,2,3,3,2,Against,Against,Against,,1,"I will vote no on Proposition 30, which would not result in a tax increase.",I do not know enough about Proposition 30.,172.98,70.17,53.05,49.76
67,2012-09-24 16:35:00,3,en,2012-09-24 16:35:00,2012-09-24 16:31:00,66.27.217.186,,Fourth,Chemistry/Materials Science,,Male,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,Obama (Democratic Party),5,5,3,3,5,4,1,Support,Support,Support,,1,"I will vote yes on Proposition 30, which would result in a tax increase.",I do not know enough about Proposition 30.,234.66,98.95,51.2,84.51
68,2012-09-24 16:35:00,3,en,2012-09-24 16:35:00,2012-09-24 16:31:00,164.67.215.213,http://co125w.col125.mail.live.com/default.aspx?rru=inbox,First,Sociology,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),True,False,False,Democrat,Obama (Democratic Party),3,3,5,3,4,5,4,Strongly support,Support,Strongly support,,1,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,224.21,92.65,81.78,49.78
69,,2,en,2012-09-24 16:37:00,2012-09-24 16:33:00,169.232.93.17,,Third,Philosophy,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Independent,Romney (Republican Party),5,5,5,2,5,2,1,Against,I don't know enough about the president's policies to answer this question.,Neutral,,,,,239.24,126.08,113.16,0
70,,1,en,2012-09-24 16:36:00,2012-09-24 16:34:00,149.142.228.188,,First,Psychology,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,I am not a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Independent,,,,,,,,,,,,,,,,143.38,143.38,0,0
71,2012-09-24 16:43:00,3,en,2012-09-24 16:43:00,2012-09-24 16:35:00,75.83.207.4,,First,Computer Science,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,False,False,Democrat,Obama (Democratic Party),5,5,4,4,5,4,3,Support,Support,Support,,1,"I will vote no on Proposition 30, which would not result in a tax increase.",Proposition 30 will have no impact.,487.04,70.7,240.67,175.67
72,2012-09-24 16:44:00,3,en,2012-09-24 16:44:00,2012-09-24 16:35:00,169.232.220.207,,First,Psychology,,Female,True,False,False,False,False,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Independent,Obama (Democratic Party),5,5,3,3,5,3,5,Support,Support,Support,,2,I am undecided.,Proposition 30 will have a positive impact.,495.27,80.75,175.95,238.57
73,2012-09-24 16:39:00,3,en,2012-09-24 16:39:00,2012-09-24 16:35:00,75.85.69.89,,Second,Electrical Engineering,,Female,False,False,False,False,False,True,False,"Annual income between $80,000 - $120,000",I don't know,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Other,False,False,False,Libertarian,Other,5,5,5,4,4,2,2,Against,Against,Strongly against,,5,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,192.53,108.62,53.83,30.08
74,,0,en,2012-09-24 16:39:00,2012-09-24 16:37:00,66.87.71.175,,Third,Gender Studies,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,,,,,,,,,,,,,,,,113.76,113.76,0,0
75,2012-09-24 16:40:00,3,en,2012-09-24 16:40:00,2012-09-24 16:37:00,149.142.227.88,,Second,Electrical Engineering,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,True,Independent,Obama (Democratic Party),4,4,3,2,4,4,3,Support,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,,2,I am undecided.,I do not know enough about Proposition 30.,155.73,75.79,55.01,24.93
76,2012-09-24 16:41:00,3,en,2012-09-24 16:41:00,2012-09-24 16:37:00,70.197.147.190,,Fourth,History,,Male,False,False,False,True,False,False,False,"Annual income of $80,000 or less",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,Obama (Democratic Party),,False,True,False,Green,Other,5,5,5,5,5,5,5,Support,Support,Against,,5,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a strong positive impact.,231.68,125.64,79.06,26.98
77,2012-09-24 16:39:00,3,en,2012-09-24 16:39:00,2012-09-24 16:37:00,128.97.254.97,http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/11/1.0.35/us/en-US/view.html/0,Second,History,,Male,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,Out-of-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),True,False,True,Democrat,Obama (Democratic Party),4,3,3,3,5,5,5,Strongly support,Support,Strongly support,,3,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,116.68,57.71,36.67,22.3
78,2012-09-24 16:41:00,3,en,2012-09-24 16:41:00,2012-09-24 16:37:00,74.111.205.96,,Second,Computer Science,,Male,False,False,False,False,True,False,False,"Annual income between $80,000 - $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Other,False,False,False,none of the above,Other,5,5,5,5,5,5,3,Neutral,Neutral,Neutral,,1,I am undecided.,I do not know enough about Proposition 30.,202.59,138.78,40.84,22.97
79,2012-09-24 16:41:00,3,en,2012-09-24 16:41:00,2012-09-24 16:38:00,149.142.227.214,http://bl159w.blu159.mail.live.com/mail/InboxLight.aspx?n=1000634685,First,Mathematics/Economics,,Male,False,False,True,False,True,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,True,Democrat,Obama (Democratic Party),5,4,4,3,4,5,4,Support,Strongly support,Strongly support,,4,"I will vote yes on Proposition 30, which would result in a tax increase.",Proposition 30 will have a positive impact.,155.52,56.46,61.54,37.52
80,2012-09-24 16:43:00,3,en,2012-09-24 16:43:00,2012-09-24 16:38:00,169.232.235.87,,First,Physiological Science,,Female,False,False,False,False,True,False,False,"Annual income over $120,000",I only have loans,Out-of-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Independent,Romney (Republican Party),4,4,5,3,4,4,4,Against,I don't know enough about the president's policies to answer this question.,I don't know enough about the president's policies to answer this question.,,2,"I will vote no on Proposition 30, which would not result in a tax increase.",I do not know enough about Proposition 30.,302.85,125.43,98.68,78.74
81,,0,en,2012-09-24 16:39:00,2012-09-24 16:39:00,198.228.217.161,,,,,,False,False,False,False,False,False,False,,,,,,,False,False,False,,,,,,,,,,,,,,,,,0,0,0,0
82,2012-09-24 16:46:00,3,en,2012-09-24 16:46:00,2012-09-24 16:40:00,164.67.205.16,http://36ohk6dgmcd1n-c.c.yom.mail.yahoo.net/om/api/1.0/openmail.app.invoke/36ohk6dgmcd1n/11/1.0.35/us/en-US/view.html/0,Second,Aerospace Engineering,,Male,False,False,False,False,True,False,False,"Annual income over $120,000",I only have financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Republican,Romney (Republican Party),5,4,4,4,2,3,1,Strongly against,I don't know enough about the president's policies to answer this question.,Against,,1,"I will vote no on Proposition 30, which would not result in a tax increase.",I do not know enough about Proposition 30.,383.33,260.6,76.08,46.65
83,2012-09-24 16:42:00,3,en,2012-09-24 16:42:00,2012-09-24 16:40:00,70.42.240.5,,Third,Physiological Science,,Male,False,False,True,False,False,False,False,"Annual income over $120,000",I only have financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Independent,Obama (Democratic Party),4,3,4,2,5,4,1,Support,Support,Neutral,,3,I am undecided.,I do not know enough about Proposition 30.,150.69,70.61,54.04,26.04
84,2012-09-24 16:42:00,3,en,2012-09-24 16:42:00,2012-09-24 16:40:00,169.232.93.17,,Third,Philosophy,,Female,False,False,False,False,True,False,False,"Annual income of $80,000 or less",I have both loans and financial aid,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Independent,Romney (Republican Party),5,5,4,2,5,2,1,Against,I don't know enough about the president's policies to answer this question.,Against,,3,"I will vote no on Proposition 30, which would not result in a tax increase.",Proposition 30 will have a positive impact.,129.31,54.71,53.38,21.22
85,,1,en,2012-09-24 16:42:00,2012-09-24 16:40:00,174.254.50.46,,Second,Undeclared - Life Sciences,,Female,False,False,False,True,False,False,False,"Annual income over $120,000",I have neither financial aid nor loans,In-state,I am a registered U.S. voter.,I didn't vote in the 2008 elections,Obama (Democratic Party),False,False,False,Democrat,,,,,,,,,,,,,,,,120.81,120.81,0,0
86,,1,en,2012-09-24 16:43:00,2012-09-24 16:41:00,66.87.66.71,,Third,Neuroscience,,Female,False,False,True,False,True,False,False,"Annual income of $80,000 or less",I only have financial aid,In-state,"I am not a registered U.S. voter, but I plan to register before the 2012 elections.",I didn't vote in the 2008 elections,McCain (Republican Party),False,False,False,Republican,,,,,,,,,,,,,,,,131.87,131.87,0,0
87,2012-09-24 16:50:00,3,en,2012-09-24 16:50:00,2012-09-24 16:41:00,169.232.242.135,,First,Psychology,Theater,Female,False,False,True,False,False,False,False,"Annual income of $80,000 or less",I have neither financial aid nor loans,Out-of-state,I am ineligible to vote in the U.S.,Obama (Democratic Party),,False,False,False,Republican,Romney (Republican Party),5,5,5,5,5,5,3,Neutral,Neutral,Support,,1,I am undecided.,I do not know enough about Proposition 30.,239.36,122.49,53.56,63.31
